"","start","end","chr_name","targets","CUB_dmel","ns","s"
"3",4651490,4652773,"2L",14.0455841730928,0.250814003090943,19,37
"6",4794672,4796560,"2L",12.9206302829632,0.127927032504586,51,50
"8",4813354,4815779,"2L",9.97617364004151,0.181384975273482,14,41
"13",4865303,4873622,"2L",32.9121861500392,0.189150495115168,88,86
"16",4893955,4903150,"2L",10.6752112774818,0.125590720911551,31,54
"18",4933288,4936341,"2L",22.6637551538037,0.155231199683587,51,95
"19",4909173,4925905,"2L",15.4237377727729,0.121446754116322,37,90
"20",4909173,4932092,"2L",16.6267906693099,0.127898389763922,37,93
"21",4909173,4915096,"2L",14.9987163734497,0.119037431535315,36,90
"26",4829487,4830607,"2L",13.2398026789557,0.181367159985694,20,53
"27",4815945,4818166,"2L",10.505400432609,0.0963798204826515,26,83
"30",4732510,4734426,"2L",36.5898678353436,0.243932452235624,91,59
"35",4336674,4344477,"2L",18.6837876799874,0.131575969577376,36,106
"36",4353049,4353810,"2L",5.620557272025,0.193812319725,8,21
"37",4372273,4380096,"2L",13.2531624989636,0.186664260548783,24,47
"40",4401120,4403088,"2L",15.8686373865711,0.154064440646321,44,59
"44",4454729,4455135,"2L",10.6455541379581,0.247571026464142,26,17
"67",4188148,4189224,"2L",16.8589755081724,0.234152437613505,29,43
"69",4257650,4258323,"2L",5.3349709533842,0.172095837205942,10,21
"72",4199135,4217840,"2L",66.7817249536941,0.0729854917526711,256,659
"73",4189945,4196565,"2L",13.6371896279072,0.127450370354273,39,68
"74",4189945,4196565,"2L",10.3743775733552,0.116566040150058,25,64
"76",3779726,3783281,"2L",17.8992847762789,0.136635761650984,45,86
"78",3790663,3802242,"2L",129.680747278377,0.263578754630848,103,389
"81",3825784,3826749,"2L",13.8258650538178,0.222997823448674,25,37
"82",3837198,3838550,"2L",18.2781709471987,0.182781709471987,41,59
"83",3863581,3867221,"2L",21.0630816421146,0.143286269674249,43,104
"84",3863581,3867118,"2L",16.6267659990366,0.111589033550581,44,105
"85",3867982,3871186,"2L",10.9188897987428,0.0966273433517066,31,82
"86",4005056,4005367,"2L",7.04803258097461,0.207295075911018,17,17
"87",4006113,4006433,"2L",4.05819801094155,0.162327920437662,9,16
"89",3872833,3893589,"2L",23.180989577539,0.0884770594562557,112,150
"90",3872833,3889638,"2L",19.5393836179706,0.0831463132679599,94,141
"91",3872833,3887221,"2L",21.5862259496293,0.0922488288445695,94,140
"92",3871556,3872335,"2L",5.93302616538976,0.211893791621063,9,19
"93",3810997,3813330,"2L",11.3802310193263,0.083067379703112,39,98
"95",3449795,3451564,"2L",13.2653949213247,0.186836548187672,22,49
"96",3457406,3460268,"2L",19.4131940278931,0.132062544407436,44,103
"97",3466335,3467251,"2L",6.57567071025587,0.252910411932918,10,16
"98",3470214,3472322,"2L",40.197040241025,0.240700839766617,83,84
"104",3619286,3621070,"2L",26.1925267455443,0.19259210842312,50,86
"112",3698589,3699040,"2L",6.514262340204,0.232652226435857,11,17
"113",3697376,3697771,"2L",4.4145476804328,0.14715158934776,14,16
"114",3696293,3696598,"2L",2.18627632496846,0.168175101920651,4,9
"120",3578300,3580179,"2L",19.9958788206843,0.170904947185336,60,57
"121",3522597,3523960,"2L",30.4158918696906,0.276508107906278,66,44
"122",3517436,3519463,"2L",28.1576315523155,0.281576315523155,25,75
"124",3509175,3510072,"2L",6.87422509726166,0.143213022859618,14,34
"125",3494522,3504457,"2L",22.9397081625563,0.117039327359981,59,137
"126",3480957,3481916,"2L",14.6299474845875,0.22859292944668,21,43
"127",3467854,3469894,"2L",9.76856858050939,0.0976856858050939,31,69
"128",3463269,3465639,"2L",18.9523578732568,0.112811654007481,88,80
"129",3460397,3461851,"2L",13.0768082478447,0.181622336775621,28,44
"130",3453926,3457035,"2L",13.7710539747057,0.0911990329450706,53,98
"134",3309427,3311648,"2L",12.469897331118,0.183380843104676,23,45
"140",3377099,3378488,"2L",12.9479460490823,0.163898051254206,34,45
"141",3410690,3411103,"2L",6.91700171042488,0.247035775372317,12,16
"142",3416865,3417407,"2L",39.2011069539253,0.834066105402666,28,19
"143",3405580,3421574,"2L",25.7789552823373,0.179020522794009,58,86
"144",3376113,3376619,"2L",3.86658382177478,0.154663352870991,7,18
"146",3295341,3301615,"2L",9.40908615292751,0.0855371468447955,31,79
"147",3291336,3293552,"2L",11.7515861760102,0.112996020923175,39,65
"148",3292537,3293552,"2L",12.0301133757993,0.197214973373759,25,36
"149",3275958,3280363,"2L",21.3445057953146,0.195821154085455,24,85
"150",3275958,3279363,"2L",27.7592608589962,0.198280434707116,38,102
"152",3147422,3149073,"2L",13.2881366532941,0.22910580436714,15,43
"153",3145203,3145684,"2L",2.60378008662861,0.153163534507565,4,13
