"","transcript_id","chr_name","start","end","transcript_size","CDS_length","number_exons","gene_id","ns","s","CUB_dmel"
"1","ENSBTAT00000000097","1",49931478,50158040,226562,1734,15,"ENSBTAG00000000088",66,30,0.331939701339921
"2","ENSBTAT00000000184","1",143220192,143238915,18723,1698,15,"ENSBTAG00000000160",122,46,0.432133395254483
"3","ENSBTAT00000000253","1",64126943,64200953,74010,4350,12,"ENSBTAG00000000210",329,103,0.0856746015589614
"4","ENSBTAT00000000254","1",64211691,64239066,27375,1456,8,"ENSBTAG00000000213",31,17,0.143303654236049
"5","ENSBTAT00000000299","1",57798620,57799321,701,701,1,"ENSBTAG00000000242",65,30,0.293749087372178
"6","ENSBTAT00000000507","1",141381597,141486918,105321,1533,9,"ENSBTAG00000000394",47,16,0.120681134805847
"7","ENSBTAT00000000573","1",71965027,71993628,28601,1026,6,"ENSBTAG00000000448",64,23,0.201008587461025
"8","ENSBTAT00000000580","1",119339695,119376498,36803,1240,11,"ENSBTAG00000000456",58,16,0.181286206279241
"9","ENSBTAT00000000602","1",82816816,82821343,4527,1054,5,"ENSBTAG00000000476",119,56,0.156221097344048
"10","ENSBTAT00000000606","1",82825299,82828284,2985,445,5,"ENSBTAG00000040199",12,3,0.174547628124419
"11","ENSBTAT00000000673","1",80612228,80618760,6532,1070,7,"ENSBTAG00000000522",44,13,0.143959903369457
"12","ENSBTAT00000000683","1",143847145,143850428,3283,444,3,"ENSBTAG00000000524",60,20,0.243665546633026
"13","ENSBTAT00000000686","1",135754365,135823833,69468,4399,26,"ENSBTAG00000000526",114,52,0.490376726022646
"14","ENSBTAT00000000740","1",68290626,68332377,41751,2810,13,"ENSBTAG00000000566",96,35,0.392443463845301
"15","ENSBTAT00000000742","1",73363149,73365032,1883,836,4,"ENSBTAG00000000569",108,41,0.236403130218641
"16","ENSBTAT00000000782","1",18713903,18736486,22583,813,6,"ENSBTAG00000000588",49,19,0.191877510681028
"17","ENSBTAT00000000788","1",18568089,18710329,142240,3079,26,"ENSBTAG00000000597",129,46,0.474762449599844
